symbol,timestamp,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty
ETHUSDT,2025-03-16 00:06:34.242,1936.28,4.2142,1936.29,71.5922
LTCUSDT,2025-03-16 03:56:34.759,92.27,170.824,92.28,11.565
BTCUSDT,2025-03-15 19:30:25.544,84225.3,3.5998,84225.31,1.96091
BNBUSDT,2025-03-16 01:23:24.976,614.81,17.678,614.82,2.637
XRPUSDT,2025-03-15 19:37:41.772,2.3945,11843.0,2.3946,2920.0
LTCUSDT,2025-03-15 23:28:07.115,92.5,25.244,92.51,88.438
BTCUSDT,2025-03-16 00:42:06.583,84309.78,4.29161,84309.79,1.63093
ETHUSDT,2025-03-15 23:55:29.605,1939.18,27.3097,1939.19,35.2351
BTCUSDT,2025-03-16 04:43:54.042,84375.7,4.65449,84375.71,1.59468
ETHUSDT,2025-03-15 20:13:43.186,1947.68,52.0704,1947.69,43.543
BTCUSDT,2025-03-16 01:10:16.412,84201.67,3.99555,84201.68,1.04717
LTCUSDT,2025-03-15 20:38:18.915,93.07,43.341,93.08,33.425
LTCUSDT,2025-03-16 07:10:34.692,91.89,21.177,91.9,52.258
BNBUSDT,2025-03-16 05:41:09.248,608.41,42.737,608.42,0.856
XRPUSDT,2025-03-16 04:08:37.952,2.3921,2510.0,2.3922,13790.0
ETHUSDT,2025-03-16 07:06:33.679,1928.32,4.8042,1928.33,137.7629
BTCUSDT,2025-03-16 07:22:38.489,84174.42,2.28664,84174.43,2.58874
BTCUSDT,2025-03-15 20:29:01.389,84409.97,4.33945,84409.98,0.26757
LTCUSDT,2025-03-16 04:19:45.167,92.55,75.764,92.56,50.76
LTCUSDT,2025-03-15 23:59:32.521,92.41,13.657,92.42,66.479
BTCUSDT,2025-03-16 01:46:39.010,84018.86,3.89283,84018.87,0.50042
BNBUSDT,2025-03-15 23:43:26.777,618.14,6.85,618.15,11.441
ETHUSDT,2025-03-16 03:29:12.687,1928.4,61.861,1928.41,26.1518
BNBUSDT,2025-03-15 18:53:11.017,611.35,6.978,611.36,1.483
BNBUSDT,2025-03-15 19:46:43.963,611.75,5.444,611.76,16.01
XRPUSDT,2025-03-16 01:40:37.580,2.3862,501.0,2.3863,25987.0
ETHUSDT,2025-03-16 06:47:28.177,1931.76,1.576,1931.77,75.4066
XRPUSDT,2025-03-15 22:22:24.058,2.4031,17025.0,2.4032,2545.0
LTCUSDT,2025-03-15 20:48:33.971,93.15,28.297,93.16,34.012
XRPUSDT,2025-03-15 19:41:42.767,2.4012,3580.0,2.4013,8341.0
BTCUSDT,2025-03-16 04:54:57.604,84346.36,0.7214,84346.37,3.96612
BTCUSDT,2025-03-15 18:36:53.934,84263.52,7.78224,84263.53,0.04721
XRPUSDT,2025-03-15 21:02:40.272,2.4115,15666.0,2.4116,4397.0
LTCUSDT,2025-03-16 02:39:54.198,91.84,66.147,91.85,160.754
ETHUSDT,2025-03-16 07:17:37.374,1923.81,0.0136,1923.82,125.0941
ETHUSDT,2025-03-16 03:04:00.809,1924.5,62.3121,1924.51,0.4175
XRPUSDT,2025-03-15 19:20:22.285,2.4014,6134.0,2.4015,2817.0
LTCUSDT,2025-03-16 04:14:40.127,92.43,135.63,92.44,28.307
XRPUSDT,2025-03-15 20:45:20.623,2.4076,11494.0,2.4077,10935.0
LTCUSDT,2025-03-15 22:29:25.697,93.27,71.44,93.28,57.53
BNBUSDT,2025-03-15 21:56:42.636,617.84,0.146,617.85,19.069
XRPUSDT,2025-03-15 22:25:24.802,2.4012,2980.0,2.4013,5355.0
XRPUSDT,2025-03-15 19:47:51.819,2.4022,14529.0,2.4023,2330.0
BTCUSDT,2025-03-16 03:53:32.793,84296.13,5.32654,84296.14,0.18493
ETHUSDT,2025-03-15 20:30:01.609,1944.69,21.3946,1944.7,27.3877
XRPUSDT,2025-03-16 06:49:28.628,2.3934,8831.0,2.3935,3919.0
XRPUSDT,2025-03-16 01:22:20.438,2.3981,4904.0,2.3982,3727.0
BNBUSDT,2025-03-15 23:59:32.519,619.82,1.255,619.83,35.209
XRPUSDT,2025-03-15 19:58:03.503,2.4007,6025.0,2.4008,21001.0
BNBUSDT,2025-03-16 03:30:17.196,610.8,26.426,610.81,0.037
ETHUSDT,2025-03-16 01:44:38.556,1924.74,0.7275,1924.75,67.2202
LTCUSDT,2025-03-15 22:15:22.497,93.3,59.174,93.31,16.856
ETHUSDT,2025-03-15 18:36:53.942,1934.6,18.3131,1934.61,21.4609
BNBUSDT,2025-03-15 21:05:41.076,617.82,8.015,617.83,2.255
BNBUSDT,2025-03-16 04:09:38.430,608.62,26.206,608.63,25.249
ETHUSDT,2025-03-16 00:01:33.001,1937.02,0.9176,1937.03,125.313
BTCUSDT,2025-03-16 00:51:10.930,84272.97,2.43286,84272.98,2.53015
BTCUSDT,2025-03-16 06:56:30.805,84253.59,1.5376,84253.6,3.81636
ETHUSDT,2025-03-16 06:51:29.372,1931.3,58.7708,1931.31,23.7466
BNBUSDT,2025-03-15 23:41:26.306,617.49,0.027,617.5,42.479
ETHUSDT,2025-03-16 03:16:05.253,1925.93,17.9924,1925.94,53.5042
LTCUSDT,2025-03-16 07:13:35.407,91.81,29.621,91.82,86.844
ETHUSDT,2025-03-15 21:03:40.534,1942.8,7.775,1942.81,39.003
XRPUSDT,2025-03-15 22:31:26.192,2.4013,7052.0,2.4014,8324.0
ETHUSDT,2025-03-16 01:15:18.815,1930.74,105.0313,1930.75,0.0144
BNBUSDT,2025-03-16 02:24:48.937,612.03,4.001,612.04,11.092
LTCUSDT,2025-03-15 18:40:54.889,93.18,85.536,93.19,0.169
XRPUSDT,2025-03-16 02:28:49.885,2.3732,7651.0,2.3733,1873.0
ETHUSDT,2025-03-16 06:43:26.895,1932.6,106.8185,1932.61,17.583
BNBUSDT,2025-03-16 06:20:21.197,607.37,25.732,607.38,0.25
XRPUSDT,2025-03-16 03:38:26.831,2.3816,317.0,2.3817,6674.0
BNBUSDT,2025-03-16 02:49:57.309,613.72,0.376,613.73,11.025
BTCUSDT,2025-03-16 03:18:05.712,84092.49,8.45917,84092.5,0.07914
BNBUSDT,2025-03-16 01:41:37.858,613.96,6.262,613.97,9.382
ETHUSDT,2025-03-15 21:48:40.434,1949.34,51.3868,1949.35,0.3314
ETHUSDT,2025-03-16 02:07:44.499,1920.46,30.5422,1920.47,37.2545
LTCUSDT,2025-03-16 02:42:54.907,91.93,67.4,91.94,82.246
XRPUSDT,2025-03-16 04:48:55.241,2.3842,21449.0,2.3843,6195.0
ETHUSDT,2025-03-16 01:14:18.606,1930.05,11.1857,1930.06,104.7944
ETHUSDT,2025-03-16 05:45:10.174,1929.63,46.8352,1929.64,47.8189
XRPUSDT,2025-03-16 03:49:30.183,2.3793,6234.0,2.3794,5584.0
BNBUSDT,2025-03-16 00:50:08.690,620.83,11.267,620.84,14.951
XRPUSDT,2025-03-16 06:38:25.753,2.3949,13595.0,2.395,783.0
LTCUSDT,2025-03-15 23:18:54.882,92.76,0.95,92.77,165.049
ETHUSDT,2025-03-16 02:45:55.643,1923.23,38.615,1923.24,28.9891
XRPUSDT,2025-03-16 04:27:47.544,2.3879,19419.0,2.388,237.0
ETHUSDT,2025-03-16 00:40:06.098,1938.9,22.7149,1938.91,34.7471
LTCUSDT,2025-03-16 04:48:56.256,92.37,50.467,92.38,57.101
BNBUSDT,2025-03-16 01:59:42.581,612.33,29.269,612.34,1.526
ETHUSDT,2025-03-15 22:28:25.470,1944.63,11.5566,1944.64,35.0947
BNBUSDT,2025-03-15 19:07:17.103,613.0,1.764,613.01,28.477
BNBUSDT,2025-03-15 22:29:25.695,617.53,4.132,617.54,11.811
XRPUSDT,2025-03-16 06:35:25.121,2.3943,4399.0,2.3944,4280.0
ETHUSDT,2025-03-15 18:39:54.637,1934.26,23.9839,1934.27,34.3271
BNBUSDT,2025-03-16 02:17:47.081,612.11,1.267,612.12,40.994
LTCUSDT,2025-03-16 06:38:25.754,92.54,121.713,92.55,0.811
XRPUSDT,2025-03-16 07:12:35.162,2.3689,11189.0,2.369,18.0
ETHUSDT,2025-03-15 22:38:42.393,1944.29,0.0028,1944.3,6.1472
BNBUSDT,2025-03-16 06:40:26.188,607.83,26.319,607.84,0.843
BNBUSDT,2025-03-16 05:18:03.714,607.82,1.567,607.83,17.139
BTCUSDT,2025-03-16 00:20:52.485,84291.75,8.39837,84291.76,0.09937
ETHUSDT,2025-03-15 20:25:00.410,1944.29,15.326,1944.3,38.0752
BTCUSDT,2025-03-15 19:45:43.719,84277.84,1.76922,84277.85,4.93566
LTCUSDT,2025-03-16 07:11:34.935,91.93,131.914,91.94,0.231
ETHUSDT,2025-03-15 21:06:41.334,1945.64,36.6593,1945.65,13.0086
XRPUSDT,2025-03-16 05:03:59.739,2.3854,21446.0,2.3855,174.0
XRPUSDT,2025-03-16 03:14:04.777,2.3713,8664.0,2.3714,1716.0
LTCUSDT,2025-03-16 01:25:31.098,92.54,41.041,92.55,78.104
ETHUSDT,2025-03-16 04:07:37.699,1928.51,88.8936,1928.52,19.7017
BNBUSDT,2025-03-15 19:29:25.316,611.62,10.799,611.63,23.667
ETHUSDT,2025-03-15 20:42:19.851,1942.96,0.0116,1942.97,102.5201
ETHUSDT,2025-03-16 00:31:02.287,1939.12,1.8079,1939.13,111.199
LTCUSDT,2025-03-15 20:45:20.624,93.1,32.728,93.11,26.71
LTCUSDT,2025-03-15 20:56:38.785,93.16,57.373,93.17,8.833
ETHUSDT,2025-03-16 02:32:50.845,1924.69,83.7423,1924.7,1.1289
XRPUSDT,2025-03-16 07:11:34.924,2.3734,13173.0,2.3735,4035.0
XRPUSDT,2025-03-16 06:13:19.594,2.3943,2333.0,2.3944,15508.0
BNBUSDT,2025-03-16 05:39:08.741,608.43,10.741,608.44,2.862
BNBUSDT,2025-03-16 06:01:15.716,608.59,35.677,608.6,2.2
LTCUSDT,2025-03-16 06:58:31.373,92.39,58.515,92.4,38.219
BNBUSDT,2025-03-15 21:57:42.871,618.15,3.502,618.16,11.721
BNBUSDT,2025-03-15 23:26:56.693,617.36,4.387,617.37,6.148
BNBUSDT,2025-03-15 22:39:42.669,617.4,9.96,617.41,10.859
XRPUSDT,2025-03-15 22:41:43.130,2.3999,5851.0,2.4,5532.0
BTCUSDT,2025-03-16 00:12:49.947,84325.72,2.46765,84325.73,4.78528
XRPUSDT,2025-03-16 05:43:09.711,2.3883,5224.0,2.3884,12151.0
XRPUSDT,2025-03-15 18:38:54.409,2.4097,6317.0,2.4098,7166.0
LTCUSDT,2025-03-16 00:53:11.392,92.69,75.142,92.7,11.782
LTCUSDT,2025-03-15 19:30:25.551,92.77,8.905,92.78,58.714
BTCUSDT,2025-03-16 00:11:49.716,84316.05,6.15648,84316.06,0.00186
XRPUSDT,2025-03-16 03:50:32.128,2.3774,19916.0,2.3775,3773.0
BNBUSDT,2025-03-15 20:02:04.459,612.83,22.886,612.84,1.019
BNBUSDT,2025-03-15 23:18:54.880,616.97,11.304,616.98,8.508
ETHUSDT,2025-03-15 18:52:10.779,1933.42,17.3745,1933.43,39.8265
LTCUSDT,2025-03-15 19:58:03.504,92.92,105.033,92.93,0.056
BTCUSDT,2025-03-15 21:40:37.842,84443.98,3.28422,84443.99,0.01284
XRPUSDT,2025-03-16 00:49:08.477,2.401,4606.0,2.4011,5121.0
BTCUSDT,2025-03-15 21:53:41.572,84423.63,2.66729,84423.64,1.78206
ETHUSDT,2025-03-16 02:33:51.093,1925.55,69.2028,1925.56,18.1048
XRPUSDT,2025-03-16 05:06:00.290,2.3868,1023.0,2.3869,11456.0
XRPUSDT,2025-03-15 23:10:52.739,2.3967,757.0,2.3968,12017.0
BTCUSDT,2025-03-15 22:21:23.844,84407.78,0.01135,84407.79,7.46751
BTCUSDT,2025-03-15 22:06:13.520,84380.69,1.79345,84380.7,0.4374
BTCUSDT,2025-03-16 05:00:59.039,84394.79,2.59481,84394.8,2.81832
ETHUSDT,2025-03-15 22:46:44.384,1941.13,0.9449,1941.14,51.1008
XRPUSDT,2025-03-16 02:57:59.167,2.371,1020.0,2.3711,9816.0
ETHUSDT,2025-03-15 23:07:52.048,1943.51,38.6415,1943.52,55.2855
BNBUSDT,2025-03-15 22:08:18.104,618.24,0.467,618.25,18.113
BTCUSDT,2025-03-16 07:05:33.463,84224.4,3.82201,84224.41,10.26265
LTCUSDT,2025-03-16 07:06:33.682,92.18,0.08,92.19,91.865
BNBUSDT,2025-03-16 04:13:39.858,608.21,9.187,608.22,30.115
BTCUSDT,2025-03-15 22:14:19.534,84363.32,0.88685,84363.33,2.61831
BTCUSDT,2025-03-16 06:17:20.515,84360.0,0.6049,84360.01,4.83495
BTCUSDT,2025-03-15 20:21:59.696,84417.37,1.95049,84417.38,1.91936
ETHUSDT,2025-03-15 22:16:22.724,1948.87,2.4394,1948.88,98.2471
LTCUSDT,2025-03-16 07:20:38.034,91.97,33.882,91.98,56.5
LTCUSDT,2025-03-16 02:40:54.420,91.93,154.3,91.94,3.593
BTCUSDT,2025-03-16 02:49:57.304,84024.68,0.00877,84024.69,5.43273
LTCUSDT,2025-03-16 01:32:32.710,92.29,3.7,92.3,107.359
BTCUSDT,2025-03-15 22:36:27.340,84428.28,3.54226,84428.29,2.51216
LTCUSDT,2025-03-15 21:46:39.296,93.39,49.402,93.4,2.181
ETHUSDT,2025-03-15 22:58:48.020,1943.74,40.395,1943.75,28.487
BTCUSDT,2025-03-15 19:10:17.774,84194.46,5.27102,84194.47,0.00424
XRPUSDT,2025-03-16 03:23:06.837,2.3792,30856.0,2.3793,949.0
ETHUSDT,2025-03-16 04:31:48.476,1927.51,0.8612,1927.52,94.753
XRPUSDT,2025-03-15 21:43:38.533,2.4142,3426.0,2.4143,2131.0
BTCUSDT,2025-03-15 20:35:18.180,84376.49,0.2235,84376.5,13.08813
