symbol,timestamp,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,mid_price,spread,volume_imbalance,rolling_volatility,future_mid,pct_change,label
BTCUSDT,2025-03-15 19:02:15.625,84139.99,6.17925,84140.0,0.02383,84139.995,0.0099999999947613,0.9923167184812758,37.35477332281203,84169.66500000001,0.00035262659571126437,1
ETHUSDT,2025-03-15 19:14:20.892,1932.19,9.1311,1932.2,57.4064,1932.195,0.0099999999999909,-0.7255352243884224,0.7958426701026554,,,0
LTCUSDT,2025-03-15 19:07:17.105,92.73,41.617,92.74,4.424,92.735,0.0099999999999909,0.8078234615217256,0.1656938274180107,92.695,-0.00043133660430265007,-1
XRPUSDT,2025-03-15 19:14:20.894,2.3998,18528.0,2.3999,180.0,2.39985,0.0001000000000002,0.9807568954452744,0.0012999572642549,,,0
BTCUSDT,2025-03-15 19:14:20.889,84207.54,2.07737,84207.55,1.90613,84207.545,0.0100000000093132,0.0429873225982494,16.86687825947751,,,0
BTCUSDT,2025-03-15 19:04:16.138,84142.01,2.25322,84142.02,1.65793,84142.015,0.0100000000093132,0.1522033157710562,39.997680335496646,84169.17499999999,0.000322787610921713,1
LTCUSDT,2025-03-15 18:58:13.396,93.08,48.368,93.09,1.072,93.085,0.0100000000000051,0.9566343040136256,0.0685484419142813,92.775,-0.003330289520330752,-1
BTCUSDT,2025-03-15 18:50:03.358,84162.57,5.19771,84162.58,0.06516,84162.57500000001,0.0099999999947613,0.9752378436570964,44.52268939663449,84211.765,0.0005844640566188447,1
BTCUSDT,2025-03-15 18:39:54.633,84263.19,1.33854,84263.2,1.89042,84263.195,0.0099999999947613,-0.1709157122698462,319.435718885658,84204.745,-0.0006936599069144202,-1
ETHUSDT,2025-03-15 18:37:54.176,1935.79,0.9044,1935.8,105.784,1935.795,0.0099999999999909,-0.983045954294652,28.19540565411327,1931.665,-0.0021334903747556476,-1
LTCUSDT,2025-03-15 18:59:14.631,93.08,71.892,93.09,15.22,93.085,0.0100000000000051,0.6505647900805211,0.0654980915751481,92.695,-0.004189719073964662,-1
BTCUSDT,2025-03-15 19:01:15.406,84116.45,1.08723,84116.46,9.76141,84116.455,0.0100000000093132,-0.7995638155570063,31.52045607394869,84160.375,0.0005221332734480816,1
ETHUSDT,2025-03-15 19:05:16.355,1929.9,75.336,1929.91,16.9135,1929.905,0.0099999999999909,0.6333096655663923,1.8491694832486831,1931.255,0.0006995162974344004,1
LTCUSDT,2025-03-15 19:06:16.593,92.69,31.303,92.7,9.118,92.695,0.0100000000000051,0.5488483707605334,0.184213040918471,92.785,0.0009709261556718638,1
ETHUSDT,2025-03-15 18:50:03.361,1932.21,23.721,1932.22,13.9412,1932.215,0.0099999999999909,0.259671500799297,1.0201960595885604,1933.555,0.0006935046048188973,1
BNBUSDT,2025-03-15 19:14:20.893,612.96,14.461,612.97,2.846,612.965,0.0099999999999909,0.6711157331304582,0.2313270892515604,,,0
BNBUSDT,2025-03-15 19:00:15.181,611.63,13.472,611.64,5.842,611.635,0.0099999999999909,0.3950502224318886,0.2871875113336923,613.285,0.002697687346211347,1
LTCUSDT,2025-03-15 18:52:10.783,93.2,21.249,93.21,70.902,93.205,0.0099999999999909,-0.5388221505421731,0.0697296366131915,93.095,-0.0011801941955903593,-1
ETHUSDT,2025-03-15 19:06:16.588,1929.99,9.5499,1930.0,91.6902,1929.995,0.0099999999999909,-0.811341553316192,1.680060845459147,1930.215,0.00011398993261641989,1
BNBUSDT,2025-03-15 19:05:16.356,613.28,26.258,613.29,1.649,613.285,0.0099999999999909,0.881821764832543,0.7670260027457535,613.445,0.00026089012449363974,1
